IMG_acc	Genbank_acc	Locus_tag	Locus_tag_orig	Strain_name	Strain_name_orig	Phylotype	SDP	Species	Host	Study	Origin	Ref
2811994808	QGLS	Ga0326500		ESL0196		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	No
2585428136	CP007446.1	SALWKB2		wkB2		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Kwong et al. (2014b)	"USA, West Haven"	Yes
NA	NZ_NXEN01000131	CPT77		E1		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ludvigsen et al. (2017)	"""USA: Arizona State University, Tempe Campus"""	No
NA	NZ_MVDP01000065 	BGH94 		Aw-20 		Snod_1			Apis mellifera 	Ludvigsen et al. (2017)	"""USA: Arizona"" "	No
	NZ_NAGW	BGH95		Aw-18		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	Ludvigsen et al. (2017)	"""USA: Arizona"" "	No
NA	NZ_NAGX01000214 	BGH96 		A12 		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ludvigsen et al. (2017)	"""USA: Arizona"" "	No
	NZ_NAGY	BGH97		A-10-12		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	Ludvigsen et al. (2017)	"""USA: Arizona"" "	No
NA	NZ_NAHB01000058 	BGI00 		A-1-12 		Snod_1			Apis mellifera 	Ludvigsen et al. (2017)	"""USA: Arizona"" "	No
NA	NZ_NAHC01000084 	BGI01 		A2 		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ludvigsen et al. (2017)	"""USA: Arizona"" "	No
NA	NZ_NAHJ01000062 	BGI08 		N-W7 		Snod_1			Apis mellifera 	Ludvigsen et al. (2017)	"""Norway: Aas"" "	No
NA	NZ_NAHK01000129 	BGI09 		N9 		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ludvigsen et al. (2017)	"""Norway: Aas"" "	No
NA	NZ_NAHN01000079 	BGI12 		N-S3 		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ludvigsen et al. (2017)	"""Norway: Aas"" "	No
NA	NZ_NAHO01000038 	BGI13 		N-S4 		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ludvigsen et al. (2017)	"""Norway: Aas"" "	No
	NZ_MEIJ	BHC42		wkB332		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	Steele et al. (2017)	"Malaysia, Genting"	No
NA	MEIV	BHC47 		PEB0171 		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Steele et al. (2017)	"""USA: New Haven, CT"" "	No
NA	MEII	BHC50 		wkB339 		Snod_1			Apis mellifera 	Steele et al. (2017)	"""Malaysia: Genting"" "	No
NA	MEIX	BHC52 		MS1-3 		Snod_1			Apis mellifera 	Steele et al. (2017)	"""USA: Austin, TX"" "	No
2758568599	NA	Ga0227305		ESL0323		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ellegaard et al. (2020)	"Switzerland, Engel apiary"	No
