Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,F2,false,N05,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.225414,25.136103,0.27906,,,,,,false,1,true,3,16,Amp,,0.981041,N,N,N,N,80.710388,,,
63,F3,false,N05,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.359575,25.136103,0.27906,,,,,,false,1,true,3,16,Amp,,0.981391,N,N,N,N,81.009773,,,
64,F4,false,N07,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.30481,25.501566,0.176671,,,,,,false,1,true,3,16,Amp,,0.973391,N,N,N,N,81.009773,,,
65,F5,false,N07,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.646608,25.501566,0.176671,,,,,,false,1,true,3,17,Amp,,0.963419,N,N,N,N,80.859238,,,
66,F6,false,N07,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.553286,25.501566,0.176671,,,,,,false,1,true,3,17,Amp,,0.973427,N,N,N,N,80.859238,,,
67,F7,false,N09,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.19138,25.15534,0.050961,,,,,,false,1,true,3,16,Amp,,0.968588,N,N,N,N,80.858414,,,
68,F8,false,N09,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.097036,25.15534,0.050961,,,,,,false,1,true,3,17,Amp,,0.965129,N,N,N,N,80.858414,,,
69,F9,false,N09,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.177608,25.15534,0.050961,,,,,,false,1,true,3,16,Amp,,0.980608,N,N,N,N,80.859039,,,
70,F10,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,13.946157,13.991918,0.083817,,,,,,false,1,true,3,7,Amp,,0.975618,N,N,N,N,81.156998,,,
71,F11,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,14.088654,13.991918,0.083817,,,,,,false,1,true,3,7,Amp,,0.977952,N,N,N,N,81.006775,,,
72,F12,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,13.94094,13.991918,0.083817,,,,,,false,1,true,3,7,Amp,,0.983908,N,N,N,N,81.006775,,,
73,G1,false,F05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,17.252386,17.104401,0.61295,,-6.676445,0.614074,0.354536,,false,1,true,3,9,Amp,,0.948415,N,N,Y,Y,82.200256,65.066833,,
74,G2,false,F05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,17.62981,17.104401,0.61295,,-6.676445,0.614074,0.354536,,false,1,true,3,9,Amp,,0.948404,N,N,Y,Y,82.200256,64.917847,,
75,G3,false,F05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.431005,17.104401,0.61295,,-6.676445,0.614074,0.354536,,false,1,true,3,8,Amp,,0.938726,N,N,Y,Y,82.797714,65.067322,,
76,G4,false,F07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.793125,16.777002,1.055973,,-7.533631,1.120472,0.646905,,false,1,true,3,8,Amp,,0.956492,N,N,Y,Y,82.648712,65.067322,,
77,G5,false,F07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,17.892694,16.777002,1.055973,,-7.533631,1.120472,0.646905,,false,1,true,3,9,Amp,,0.933306,N,N,Y,Y,82.349045,64.91835,,
78,G6,false,F07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.645187,16.777002,1.055973,,-7.533631,1.120472,0.646905,,false,1,true,3,8,Amp,,0.931905,N,N,Y,Y,82.349045,64.91835,,
79,G7,false,F09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.966934,15.964401,0.532542,,-8.325063,0.542694,0.313324,,false,1,true,3,8,Amp,,0.937635,N,N,Y,Y,81.752304,64.619431,,
80,G8,false,F09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.495672,15.964401,0.532542,,-8.325063,0.542694,0.313324,,false,1,true,3,8,Amp,,0.914882,N,N,Y,Y,81.454346,64.619431,,
81,G9,false,F09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.430597,15.964401,0.532542,,-8.325063,0.542694,0.313324,,false,1,true,3,7,Amp,,0.949536,N,N,Y,Y,82.050888,64.620193,,
82,G10,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,34.470993,35.154076,0.733849,,,,,,false,1,true,3,25,Amp,,0.965572,N,Y,Y,Y,82.795784,64.918152,,
83,G11,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,35.92988,35.154076,0.733849,,,,,,false,1,true,3,27,Amp,,0.95366,N,N,Y,N,82.794464,,,
84,G12,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,35.061356,35.154076,0.733849,,,,,,false,1,true,3,26,Amp,,0.938679,N,N,Y,Y,82.794464,65.364471,,
85,H1,false,F05,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.758947,23.780846,0.037133,,,,,,false,1,true,3,16,Amp,,0.975502,N,N,N,N,80.561409,,,
